candidate_id,robot_name,model,manufacturer,source_database,source_category,source_url,screening_status,exclusion_reason,duplicate_of,screened_date,notes
CAND-0001,PARO,,AIST,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0002,Abi,,Andromeda Robotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0003,Next-Generation Companion Robot,,ASUS,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0004,Moflin,,Casio,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0005,LilMilo,,Ecovacs,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0006,EBO X,,Enabot,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0007,EBO Max FamilyBot,,Enabot,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0008,EBO Mini Sport FamilyBot,,Enabot,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0009,Intelligent Soft-Bodied Bionic Arowana,,FullDepth,ui44,Companions,https://ui44.com/categories/companions,EXCLUDE,사회적 상호작용이 핵심 목적이 아님(수중 전시/연구/촬영 중심),,2026-08-11,Phase 0B 1차 스크리닝
CAND-0010,Gogobot D1,,Gogobot,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0011,LOVOT,,GROOVE X,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0012,Joobie,,Hugbibi,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0013,Pophie,,InsBotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0014,ElliQ 3,,Intuition Robotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0015,Loona,,KEYi Tech,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0016,Loona DeskMate,,KEYi Tech,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0017,Ami,,Lepro,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0018,Cocomo,,Ludens AI,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0019,INU,,Ludens AI,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0020,RUMI,,Luvbotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0021,StackChan,,M5Stack,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0022,MagicDog,,MagicLab,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0023,An'An Panda,,Mind With Heart Robotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0024,Kuri,,Mayfield Robotics,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0025,Miko 3,,Miko,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
CAND-0026,Miko Mini,,Miko,ui44,Companions,https://ui44.com/categories/companions,INCLUDE,,,2026-08-11,Phase 0B 1차 스크리닝
