robot_id,robot_name,model,manufacturer,manufacturer_country,release_year,status,robot_type,height_cm,width_cm,depth_cm,weight_kg,mobility,dof,battery_runtime_min,camera,depth_camera,microphone,microphone_array,speaker,touch_sensor,proximity_sensor,lidar,imu,other_sensors,display,processor,operating_system,speech_input,speech_recognition,speaker_localization,face_recognition,emotion_recognition,gaze_recognition,gesture_recognition,object_recognition,distance_recognition,speech_output,facial_expression,gaze_expression,head_movement,arm_gesture,body_movement,led_expression,screen_expression,touch_interaction,physical_contact,object_manipulation,sdk,api_available,ros_support,programmable,external_api,llm_integration,primary_target,primary_domain,pediatric_relevance,healthcare_relevance,pediatric_study_exists,clinical_study_exists,general_hri_study_exists,source_database,source_database_url,official_url,spec_source_url,verification_status,last_verified,notes
ROBOT-0001,PARO,,AIST,일본,,정보확인필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,ui44,https://ui44.com/categories/companions,http://www.parorobots.com/,http://www.parorobots.com/,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official product source linked (PARO Robots).
ROBOT-0002,Abi,,Andromeda Robotics,호주,,판매중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://andromedarobotics.ai/product,https://andromedarobotics.ai/product,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official product source linked (Andromeda Robotics).
ROBOT-0003,Next-Generation Companion Robot,,ASUS,대만,,개발중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://press.asus.com/news/press-releases/asus-computex-2026-agentic-ai-robots-kairo-maestro/,https://www.asus.com/us/business/resources/news/computex-2026-agentic-ai-ready-robots/,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official ASUS release pages linked (Companion Robot announcement).
ROBOT-0004,Moflin,,Casio,,,판매중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://www.casio.com/us/moflin/,https://support.casio.com/global/en/moflin/manual/PE-M10_en/JEAWSYrfzullak.html,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official product URL and official support manual linked.
ROBOT-0005,LilMilo,,Ecovacs,,,판매중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://www.ecovacs.com/us/famibot-ai-companion-robot,https://www.ecovacs.com/us/shop/famibot-ai-companion-robot/lilmilo-white,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official ECOVACS landing and product detail pages linked.
ROBOT-0006,EBO X,,Enabot,,,판매중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://store.enabot.com/products/ebo-x-familybot,https://store.enabot.com/products/ebo-x-familybot,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official Enabot product page linked.
ROBOT-0007,EBO Max FamilyBot,,Enabot,,,판매중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://store.enabot.com/products/ebo-max-familybot,https://store.enabot.com/products/ebo-max-familybot,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official Enabot product page linked.
ROBOT-0008,EBO Mini Sport FamilyBot,,Enabot,,,개발중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://store.enabot.com/products/ebo-mini-sport-familybot,https://store.enabot.com/products/ebo-mini-sport-familybot,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official Enabot product page linked.
ROBOT-0009,Gogobot D1,,Gogobot,중국,,개발중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://gogobot.io/,https://gogobot.io/pages/help-center,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official Gogobot website and help-center specs linked.
ROBOT-0010,LOVOT,,GROOVE X,,,판매중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://lovot.life/en/,http://lovot.life/en/technology/,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official LOVOT pages linked.
ROBOT-0011,Joobie,,Hugbibi,,,개발중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ui44,https://ui44.com/categories/companions,https://hugbibi.com/,https://hugbibi.com/,PARTIALLY_VERIFIED,2026-08-11,IMPORTED from ui44; official Hugbibi site linked.
