price_id,robot_id,vendor,vendor_country,vendor_type,offer_type,condition,price_original,currency,price_krw,rental_price,rental_period,academic_discount,availability,shipping_to_korea,source_url,checked_date,notes
PRICE-0001,ROBOT-0033,KOIBOT Official,일본,제조사,구매,new,6980,USD,,,,,구매가능,TRUE,https://www.koibot.online/,2026-08-11,ROLA One reference retail price; official page states international shipping included.
PRICE-0002,ROBOT-0038,Sony Electronics,미국,제조사,구매,new,3199.99,USD,,,,,구매가능,FALSE,https://electronics.sony.com/more/aibo/p/ers1000,2026-08-11,Official Sony listing price; Sony Electronics terms state no international shipping.
PRICE-0003,ROBOT-0039,SwitchBot International,일본,제조사,구매,new,699,USD,,,,,구매가능,UNKNOWN,https://www.switch-bot.com/products/katafriends,2026-08-11,Official SwitchBot listing price for KATA Friends.
PRICE-0004,ROBOT-0046,YONBO Official Store,미국,제조사,구매,new,799,USD,,,,,구매가능,TRUE,https://yonbo.ai/products/yonbo-x1,2026-08-11,Official Yonbo X1 listing; page notes international orders with duties/taxes covered.
PRICE-0005,ROBOT-0047,Mirumi Official Store JP,일본,제조사,구매,new,19800,JPY,,,,,구매가능,FALSE,https://store-jp.mirumi.tokyo/,2026-08-11,Official Mirumi JP store price per unit; JP store policy/guide indicates domestic Japan fulfillment.
PRICE-0006,ROBOT-0035,Fuzozo Global Store,중국,제조사,구매,new,149,USD,,,,,구매가능,UNKNOWN,https://www.fuzozo.net/,2026-08-11,Official Fuzozo global storefront listing price.
PRICE-0007,ROBOT-0034,Rhem Official,미국,제조사,구매,new,599,USD,,,,,문의필요,UNKNOWN,https://www.rhem.ai/,2026-08-11,Official reservation price shown as early offer (expected launch MSRP separately noted on page).
PRICE-0008,ROBOT-0048,Zeroth Robotics,미국,제조사,구매,new,2499,USD,,,,,구매가능,UNKNOWN,https://www.zeroth0.com/products/m1,2026-08-11,Official M1 product page listing price.
PRICE-0009,ROBOT-0040,Tombot,미국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://tombot.com/pages/meet-our-puppies,2026-08-11,Official page indicates first litter sold out and waitlist-based pricing notice.
PRICE-0010,ROBOT-0018,Ludens AI,일본,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://ludensai.com/,2026-08-11,Official site confirms INU presence but no public MSRP/checkout.
PRICE-0011,ROBOT-0042,Tuya Smart,중국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.tuya.com/news-details/tuya-smart-launches-aura-an-ai-companion-robot-designed-for-pets-Kf9m2gpnsxudc,2026-08-11,Official launch announcement without published consumer price.
PRICE-0012,ROBOT-0041,Takway AI,중국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://takway.ai/,2026-08-11,Official site provides product overview and campaign path but no fixed MSRP.
PRICE-0013,ROBOT-0006,Enabot Official Store,중국,제조사,구매,new,999,USD,,,,,재고없음,TRUE,https://store.enabot.com/products/ebo-x-familybot,2026-08-11,Official listing price with global shipping noted; currently out of stock.
PRICE-0014,ROBOT-0007,Enabot Official Store,중국,제조사,구매,new,549.99,USD,,,,,재고없음,TRUE,https://store.enabot.com/products/ebo-max-familybot,2026-08-11,Official listing price with global shipping noted; currently out of stock.
PRICE-0015,ROBOT-0008,Enabot Official Store,중국,제조사,구매,new,209.99,USD,,,,,재고없음,TRUE,https://store.enabot.com/products/ebo-mini-sport-familybot,2026-08-11,Official listing price with global shipping noted; currently out of stock.
PRICE-0016,ROBOT-0015,KEYi Tech Official,중국,제조사,구매,new,299,USD,,,,,구매가능,TRUE,https://keyirobot.com/products/deskmate,2026-08-11,Official Loona DeskMate listing with free shipping text on product page.
PRICE-0017,ROBOT-0024,Miko Official Store,미국,제조사,구매,new,299,USD,,,,,구매가능,TRUE,https://miko.ai/,2026-08-11,Official Miko 3 listing price; miko.ai shipping policy includes international shipping with country-dependent charges/customs.
PRICE-0018,ROBOT-0025,Miko Official Store,미국,제조사,구매,new,149,USD,,,,,구매가능,TRUE,https://miko.ai/,2026-08-11,Official Miko Mini listing price; miko.ai shipping policy includes international shipping with country-dependent charges/customs.
PRICE-0019,ROBOT-0028,OlloNi Official,홍콩,제조사,구매,new,198,USD,,,,,구매가능,TRUE,https://ollobot.com/products/ollo-bot,2026-08-11,Official listing shows sale price and states worldwide shipping.
PRICE-0020,ROBOT-0030,Pollen Robotics Official,프랑스,제조사,구매,new,499,USD,,,,,구매가능,TRUE,https://pollen-robotics.com/reachy-mini/,2026-08-11,Official Reachy Mini base price; page provides non-core-region ordering path via official distributor.
PRICE-0021,ROBOT-0029,PadBot,중국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.padbot.com/padbot-kids-robot-t2.html,2026-08-11,Official page provides quote request flow without public price.
PRICE-0022,ROBOT-0027,Misty Robotics,미국,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.mistyrobotics.com/misty-ii,2026-08-11,Official product page does not publish direct retail price.
PRICE-0023,ROBOT-0001,AIST Official,일본,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,http://www.parorobots.com/,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0024,ROBOT-0002,Andromeda Robotics Official,호주,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://andromedarobotics.ai/product,2026-08-11,Official page checked; no fixed public MSRP captured.
PRICE-0025,ROBOT-0003,ASUS Official,대만,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://press.asus.com/news/press-releases/asus-computex-2026-agentic-ai-robots-kairo-maestro/,2026-08-11,Announcement page checked; no retail price published.
PRICE-0026,ROBOT-0004,Casio Official,,제조사,가격문의,,,,,,,,문의필요,UNKNOWN,https://www.casio.com/us/moflin/,2026-08-11,Official page checked; no fixed public MSRP captured.
