study_id,robot_id,title,authors,year,venue,doi,url,country,institution,study_type,participant_type,condition,age_min,age_max,sample_size,setting,research_purpose,robot_role,interaction_modalities,autonomy_level,session_duration_min,number_of_sessions,individual_or_group,parent_present,clinician_present,outcome_category,result_direction,result_summary_ko,pediatric,clinical,evidence_level,notes
STUDY-0001,ROBOT-0052,Enhancing Communication in Minimally Verbal Autistic Children: A Study on NAO-Assisted Therapy,Di Cara M et al.,2025,Journal of Clinical Medicine,10.3390/jcm14113735,https://doi.org/10.3390/jcm14113735,이탈리아,IRCCS Centro Neurolesi Bonino Pulejo,임상 파일럿,자폐 스펙트럼 아동,최소 언어 자폐 아동,4,12,37,외래,의사소통;자폐 스펙트럼 지원,치료 보조,음성;사회적 상호작용,확인 불가,45,12,개별,UNKNOWN,TRUE,의사소통,긍정,NAO 보조군이 표준 치료군 대비 자발적 의사소통 및 요청 표현에서 더 큰 개선을 보였다고 보고함,TRUE,TRUE,임상 파일럿,단일맹검 무작위 대조 설계로 보고됨.
STUDY-0002,ROBOT-0052,Reinforcement-Based Person-Specific Training for Children with Autism Using a Humanoid Robot NAO,Abubakar I et al.,2026,Robotics,10.3390/robotics15040066,https://doi.org/10.3390/robotics15040066,파키스탄,특수요구 아동 교육기관,실험 연구,자폐 스펙트럼 아동,DSM-5 기반 자폐 아동,,,,연구실,자폐 스펙트럼 지원;사회적 기술,코치,음성;얼굴인식;강화학습 과제,사전 스크립트,,,개별,UNKNOWN,TRUE,사회적 기술,긍정,NAO 기반 개인맞춤 강화학습 조건에서 아동 참여 및 과제 수행 향상 경향이 보고됨,TRUE,FALSE,사용자 연구,무작위 배정 비교 설계로 보고됨.
STUDY-0003,ROBOT-0001,Can AI-assisted therapy (PARO robot) be a treatment option for children hospitalised in an acute mental health ward? A pilot study,Popek L et al.,2025,Psychiatria Polska,10.12740/PP/OnlineFirst/188053,https://doi.org/10.12740/PP/OnlineFirst/188053,폴란드,Nicolaus Copernicus University Collegium Medicum,임상 파일럿,환아,정신건강 위기 입원 아동,12,13,,병원,정서 지원;정신건강,치료 보조,터치;비언어 상호작용,부분 자율,,,"그룹",UNKNOWN,TRUE,정서 및 행동,긍정,PARO 상호작용군에서 긍정 정서 증가와 부정 정서 감소 가능성이 보고됨,TRUE,TRUE,임상 파일럿,급성 소아 정신과 병동에서 수행된 파일럿 연구.
STUDY-0004,ROBOT-0038,The pilot study of group robot intervention on pediatric inpatients and their caregivers using new aibo,Yamamoto M et al.,2022,European Journal of Pediatrics,10.1007/s00431-021-04285-8,https://doi.org/10.1007/s00431-021-04285-8,일본,National Center for Child Health and Development,임상 파일럿,환아,만성질환 입원 아동,,,127,병원,정서 지원;놀이,놀이 상대,터치;놀이 상호작용,부분 자율,,,"그룹",TRUE,TRUE,정서 및 참여,긍정,집단 로봇 중재에서 아동과 보호자 모두 긍정적 표현 및 참여 행동 증가가 관찰됨,TRUE,TRUE,임상 파일럿,소아 병동 집단 개입 파일럿으로 보고됨.
STUDY-0005,ROBOT-0053,Unlocking the Potential of Social Robot Pepper: A Comprehensive Evaluation of Child-Robot Interaction,Rostsinskaja A et al.,2025,Journal of Pediatric Health Care,10.1016/j.pedhc.2025.01.010,https://doi.org/10.1016/j.pedhc.2025.01.010,에스토니아,Tartu University Hospital,사용자 연구,기타,건강 아동 및 신경계 질환 아동,4,16,89,병원,사회적 기술;평가 및 측정,대화 상대,음성;시선;제스처,확인 불가,,,"개별",UNKNOWN,TRUE,수용성 및 상호작용,긍정,Pepper와의 상호작용은 높은 수용성과 시선 유지율을 보였고 임상 적용 가능성이 제시됨,TRUE,TRUE,사용자 연구,직접 상호작용과 영상 상호작용 조건을 비교함.
STUDY-0006,ROBOT-0049,Social Robots as Creativity Eliciting Agents,Ali S et al.,2021,Frontiers in Robotics and AI,10.3389/frobt.2021.673730,https://doi.org/10.3389/frobt.2021.673730,미국,MIT Media Lab,실험 연구,건강 아동,일반 아동,5,10,169,연구실,교육;사회적 기술,코치,음성;태블릿 과제 상호작용,사전 스크립트,,,"개별",UNKNOWN,FALSE,창의성 지표,긍정,Jibo가 창의적 시범 또는 스캐폴딩을 제공한 조건에서 아동 창의성 지표가 유의하게 향상됨,TRUE,FALSE,사용자 연구,무작위 대조 실험 3건으로 보고됨.
STUDY-0007,ROBOT-0050,Social interaction facilitated by a minimally-designed robot: Findings from longitudinal therapeutic practices for autistic children,Kozima H et al.,2007,RO-MAN 2007,10.1109/ROMAN.2007.4415155,https://doi.org/10.1109/ROMAN.2007.4415155,일본,교토대 연구팀,사례 연구,자폐 스펙트럼 아동,자폐 아동,2,4,,학교,자폐 스펙트럼 지원;사회적 기술,놀이 상대,시선;비언어 상호작용,연구자 원격 제어,,,개별,UNKNOWN,TRUE,사회적 상호작용,긍정,Keepon과의 장기 상호작용에서 아동의 자발적 접근과 이자 관계에서 삼자 상호작용 확장이 보고됨,TRUE,FALSE,랩 연구,보육시설 장기 관찰 기반 연구로 보고됨.
STUDY-0008,ROBOT-0050,Children-robot interaction: a pilot study in autism therapy,Kozima H et al.,2007,Progress in Brain Research,10.1016/S0079-6123(07)64021-7,https://doi.org/10.1016/S0079-6123(07)64021-7,일본,교토대 연구팀,임상 파일럿,자폐 스펙트럼 아동,자폐 아동,2,4,,연구실,자폐 스펙트럼 지원;의사소통,놀이 상대,시선;감정표현;비언어 상호작용,연구자 원격 제어,,,개별,UNKNOWN,TRUE,의사소통 및 상호작용,긍정,Keepon의 최소 표현 특성이 아동의 상호작용 참여를 촉진할 가능성이 제시됨,TRUE,TRUE,임상 파일럿,아동-로봇 상호작용 파일럿으로 보고됨.
STUDY-0009,ROBOT-0038,Comparison of Children's Behavior toward Sony's Robotic Dog AIBO and a Real Dog: A Pilot Study,Sommer S et al.,2008,International Journal of Social Robotics,10.2752/175303708X332053,https://doi.org/10.2752/175303708X332053,스위스,취리히 유치원/프리스쿨,사용자 연구,건강 아동,일반 아동,3,6,14,학교,정서 지원;놀이,놀이 상대,터치;놀이 상호작용,완전 자율,,11,개별,UNKNOWN,FALSE,행동 관찰,혼합,AIBO와 실제 개 비교에서 아동의 상호작용 패턴 차이가 관찰되었으며 일부 지표는 AIBO 선호 경향을 보임,TRUE,FALSE,사용자 연구,주 1회 반복 관찰 기반 파일럿 연구.
STUDY-0010,ROBOT-0053,Pepper as a Learning Partner in a Children's Hospital,Zarubica S; Bendel O,2024,Social Robotics (ICSR 2023 LNCS),10.1007/978-981-99-8718-4_2,https://doi.org/10.1007/978-981-99-8718-4_2,스위스,소아병원 교육 프로그램,현장 배치,환아,만성질환 소아 환자,,, ,병원,교육;정보 제공,교육자,음성;제스처;터치스크린 상호작용,부분 자율,,,그룹,TRUE,TRUE,학습 참여,긍정,Pepper 기반 병원 학습 활동에서 아동 참여도와 학습 경험 개선 가능성이 보고됨,TRUE,TRUE,사용자 연구,소아병원 교육 맥락의 적용 사례 보고.
STUDY-0011,ROBOT-0055,Challenges Deploying Robots During a Pandemic: An Effort to Fight Social Isolation Among Children,Tsoi N et al.,2021,HRI '21,10.1145/3434073.3444665,https://doi.org/10.1145/3434073.3444665,미국,Yale University,현장 배치,건강 아동,팬데믹 시기 사회적 고립 아동,,,,"가정",정서 지원;놀이;의사소통,대화 상대,원격조작;음성;카메라 기반 상호작용,연구자 원격 제어,,,개별,TRUE,FALSE,사회적 연결감,긍정,원격 조종 기반 VectorConnect 배치에서 아동의 물리적 놀이 및 원격 사회적 상호작용 가능성이 보고됨,TRUE,FALSE,사용자 연구,대규모 신속 배치 사례 보고.
STUDY-0012,ROBOT-0027,Designing Parent-child-robot Interactions to Facilitate In-Home Parental Math Talk with Young Children,Ho HR et al.,2023,IDC '23,10.1145/3585088.3589358,https://doi.org/10.1145/3585088.3589358,미국,University of Wisconsin-Madison,사용자 연구,건강 아동,가정 내 수학 대화 지원,,,,"가정",교육;의사소통,코치,음성;질문 프롬프트;표정,Wizard-of-Oz,,,개별,TRUE,FALSE,부모-아동 상호작용,긍정,Misty II가 부모의 수학 대화 프롬프트를 유도해 가정 내 학습 상호작용을 촉진할 가능성이 보고됨,TRUE,FALSE,사용자 연구,탐색적 가정 내 삼자 상호작용 연구.
STUDY-0013,ROBOT-0027,The influence of individual characteristics on children's learning with a social robot versus a human,Qu C et al.,2025,Scientific Reports,10.1038/s41598-025-27476-x,https://doi.org/10.1038/s41598-025-27476-x,미국,University of Wisconsin-Madison,실험 연구,건강 아동,탱그램 학습 과제,5,8,32,연구실,교육;평가 및 측정,교육자,음성;시선;제스처,Wizard-of-Oz,,,개별,UNKNOWN,FALSE,학습 행동 지표,혼합,로봇 대 인간 교사 조건 비교에서 아동 특성에 따른 시선/사회참조/과제행동 차이가 보고됨,TRUE,FALSE,사용자 연구,within-subject 비교 설계로 보고됨.
STUDY-0014,ROBOT-0024,Emotive Response to a Hybrid-Face Robot and Translation to Consumer Social Robots,Bazo-Perpinan D et al.,2021,IEEE Internet of Things Journal,10.1109/JIOT.2021.3097592,https://doi.org/10.1109/JIOT.2021.3097592,영국,King's College London,실험 연구,기타,감정 인식 및 표현 평가,,,,연구실,정서 지원;평가 및 측정,대화 상대,얼굴표정;시선;음성,확인 불가,,,개별,UNKNOWN,FALSE,감정 인식 정확도,긍정,Miko로 번역된 하이브리드-페이스 설계가 아동 대상 감정 전달에서 높은 인식률을 보였다고 보고됨,TRUE,FALSE,랩 연구,상용 Miko 플랫폼으로의 설계 전이 검증을 포함.
STUDY-0015,ROBOT-0014,Embodied Social Robots as Interaction Bridges in Autism Intervention: Early Evidence from a Multiple-baseline Study Design,Frolli A et al.,2026,Artificial Intelligence in HCI (LNCS),10.1007/978-3-032-31048-4_4,https://doi.org/10.1007/978-3-032-31048-4_4,캐나다,HCII 2026 발표 연구,사용자 연구,자폐 스펙트럼 아동,Level 1 ASD,3,6,3,연구실,자폐 스펙트럼 지원;의사소통,코치,시선;모방;선택 과제,부분 자율,50,,개별,UNKNOWN,TRUE,의사소통 및 행동,긍정,Loona를 보조 도구로 사용한 다중기초선 설계에서 시선접촉/자발요청 증가 및 상동행동 감소 경향이 보고됨,TRUE,TRUE,사용자 연구,예비 연구로 소표본 결과임.
