news_id,source_id,region,title,author,published_at,source_category,source_url,primary_category,tags,summary_ko,robot_ids,manufacturer_ids,archive_candidate,pediatric_relevance,clinical_relevance,screening_status,relevance_reason,collected_at,last_verified,content_hash
NEWS-0001,IROBOTNEWS,KR,"“논산을 국방로봇 산업 메카로”…충남도, 협력체계 본격 가동",최지호 기자,2026-08-11 17:38:42,,https://www.irobotnews.com/news/articleView.html?idxno=47870,제품·출시,,,,,FALSE,NONE,NONE,EXCLUDE,2차 검토: 소셜로봇/HRI 핵심 범위와 직접 관련성 낮음,2026-08-11,2026-08-11,7badb8758f4209612be9825c3d5a080b760cb50af2a85f7f8a683bf286366de4
NEWS-0002,IROBOTNEWS,KR,"“피지컬AI 미래 논의”…기계연, `글로벌 기계기술 포럼` 내달 7일 개최",최지호 기자,2026-08-11 16:41:47,,https://www.irobotnews.com/news/articleView.html?idxno=47868,산업·정책,LLM|연구|정책|시장,국내외 전문가가 휴머노이드와 피지컬 AI의 기술·산업 방향을 논의하는 포럼 소식이다. 소셜로봇 상호작용 기술의 중장기 생태계 변화와 연관된 정책/산업 동향으로 포함했다.,,,FALSE,LOW,LOW,INCLUDE,피지컬 AI·휴머노이드의 상호작용 기술 로드맵 논의,2026-08-11,2026-08-11,c53210f822af3b65b3a25ce592b0650dc715404d1e5effa14630cce891e238e8
NEWS-0003,IROBOTNEWS,KR,[인사]과기정통부,로봇신문사,2026-08-11 16:35:21,,https://www.irobotnews.com/news/articleView.html?idxno=47869,연구·HRI,연구,,,,FALSE,NONE,NONE,EXCLUDE,소셜로봇/HRI 목적과 직접 관련성 낮음,2026-08-11,2026-08-11,dc363995b1ec3a4b044cc801d4418ee3c55b5ac68d287b0490ab188e56da5868
NEWS-0004,IROBOTNEWS,KR,오늘의 로봇 기업 주식 시세(2026-08-11),박경일 기자,2026-08-11 15:40:21,,https://www.irobotnews.com/news/articleView.html?idxno=47860,제품·출시,,,,,FALSE,NONE,NONE,EXCLUDE,산업/물류/비상호작용 중심 기사,2026-08-11,2026-08-11,0dc08f883e02f524b51156f8e6bbcd9d5dc537c33cfd493acb9c288d1de3e973
NEWS-0005,IROBOTNEWS,KR,"엔닷라이트, 150억원 규모 투자 유치",최지호 기자,2026-08-11 15:29:20,,https://www.irobotnews.com/news/articleView.html?idxno=47867,제품·출시,,,,,FALSE,NONE,NONE,EXCLUDE,산업/물류/비상호작용 중심 기사,2026-08-11,2026-08-11,61f9c0b9eedca94419dadb3fd7a21e91387ad21049ff9a7b0533033bae7daaf6
NEWS-0006,IROBOTNEWS,KR,"국립어린이과학관, 신나는 여름방학 ‘AI 로봇놀이터’ 15일 개장",최지호 기자,2026-08-11 14:32:40,,https://www.irobotnews.com/news/articleView.html?idxno=47865,소아·교육,소아|교육|실증,국립어린이과학관이 여름방학 프로그램으로 AI 로봇 체험 공간을 운영한다. 아동 대상 상호작용형 로봇 활용 확산을 보여주는 교육 현장 사례로 분류했다.,,,FALSE,HIGH,LOW,INCLUDE,아동 대상 상호작용형 로봇 교육/체험 사례,2026-08-11,2026-08-11,346fe10a3edca6c942a6c03f7b89d6fdf57ce69e8a5b59224a6996c735a80c20
NEWS-0007,IROBOTNEWS,KR,"中 유니트리 IPO 청약 건수, 스타마켓 사상 최고치 기록",유효정 기자,2026-08-11 14:10:42,,https://www.irobotnews.com/news/articleView.html?idxno=47864,산업·정책,시장,,,,FALSE,NONE,NONE,EXCLUDE,2차 검토: 소셜로봇/HRI 핵심 범위와 직접 관련성 낮음,2026-08-11,2026-08-11,b028a095d25de515e6cf10f120fae00b0ebf68cd4c5cbbc8dc309e56861ff805
NEWS-0008,IROBOTNEWS,KR,"美 로보스토어, 로봇 제조·시스템통합 기업 ‘로보’ 출범",장길수 기자,2026-08-11 13:49:58,,https://www.irobotnews.com/news/articleView.html?idxno=47862,제품·출시,,,,,FALSE,NONE,NONE,EXCLUDE,2차 검토: 소셜로봇/HRI 핵심 범위와 직접 관련성 낮음,2026-08-11,2026-08-11,cd980f36c85924a86c5e87e054694a2bb6a065ed93fc051597363aea2e215be9
NEWS-0009,IROBOTNEWS,KR,"獨 KIT, 고장 난 기계 스스로 진단·해체하는 로봇 시스템 개발",장길수 기자,2026-08-11 13:40:10,,https://www.irobotnews.com/news/articleView.html?idxno=47861,연구·HRI,연구,,,,FALSE,NONE,NONE,EXCLUDE,2차 검토: 소셜로봇/HRI 핵심 범위와 직접 관련성 낮음,2026-08-11,2026-08-11,9789e80426a18dbd568ce2803f39602c72ecb4a977df76e6fce81c94329eba8d
NEWS-0010,IROBOTNEWS,KR,"보스턴 다이나믹스 '아틀라스' ""3분 만에 배터리 자율 교체 기능""",장길수 기자,2026-08-11 13:24:46,,https://www.irobotnews.com/news/articleView.html?idxno=47859,제품·출시,,,,,FALSE,NONE,NONE,EXCLUDE,2차 검토: 소셜로봇/HRI 핵심 범위와 직접 관련성 낮음,2026-08-11,2026-08-11,7948fd886db22fdc7437823e870ebcce88fa9d2b33d3ab2126dab1ea150d67fe
