collected_at_utc,robot_id,robot_name,db_name,query,search_url,hit_count,status,notes
2026-08-11T13:38:49+00:00,ROBOT-0001,PARO,PUBMED,"(PARO[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28PARO%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0001,PARO,IEEE_XPLORE,"""PARO"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22PARO%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0001,PARO,ACM_DL,"""PARO"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22PARO%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0001,PARO,SCOPUS,"""PARO"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22PARO%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0002,Abi,PUBMED,"(Abi[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28Abi%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0002,Abi,IEEE_XPLORE,"""Abi"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22Abi%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0002,Abi,ACM_DL,"""Abi"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://dl.acm.org/action/doSearch?AllField=%22Abi%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0002,Abi,SCOPUS,"""Abi"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://www.scopus.com/results/results.uri?query=%22Abi%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
2026-08-11T13:38:49+00:00,ROBOT-0003,Next-Generation Companion Robot,PUBMED,"(Next-Generation Companion Robot[Title/Abstract]) AND (""social robot""[Title/Abstract] OR ""human-robot interaction""[Title/Abstract] OR pediatric[Title/Abstract] OR child[Title/Abstract] OR clinical[Title/Abstract] OR therapy[Title/Abstract])",https://pubmed.ncbi.nlm.nih.gov/?term=%28Next-Generation%20Companion%20Robot%5BTitle/Abstract%5D%29%20AND%20%28%22social%20robot%22%5BTitle/Abstract%5D%20OR%20%22human-robot%20interaction%22%5BTitle/Abstract%5D%20OR%20pediatric%5BTitle/Abstract%5D%20OR%20child%5BTitle/Abstract%5D%20OR%20clinical%5BTitle/Abstract%5D%20OR%20therapy%5BTitle/Abstract%5D%29,,AUTO_FAILED:URLError,
2026-08-11T13:38:49+00:00,ROBOT-0003,Next-Generation Companion Robot,IEEE_XPLORE,"""Next-Generation Companion Robot"" AND (""social robot"" OR ""human-robot interaction"" OR pediatric OR child OR clinical OR therapy)",https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=%22Next-Generation%20Companion%20Robot%22%20AND%20%28%22social%20robot%22%20OR%20%22human-robot%20interaction%22%20OR%20pediatric%20OR%20child%20OR%20clinical%20OR%20therapy%29,,MANUAL_PENDING,접근 권한/기관 구독 환경에서 수동 확인 필요
